worms_sciname,worms_aphiaid,rank,phylum,class,subclass,order,family,genus,year,countryCode,stateProvince,county,locality,decimalLatitude,decimalLongitude,depth,taxonRemarks,verbatim_obis,terrestrial_only
Nutricola lordi,507786,species,Mollusca,Bivalvia,Autobranchia,Venerida,Veneridae,Nutricola,1960,NA,NA,NA,w. of Rose Point,54.1899986267,-131.380004883,20.15,NA,Nutricola lordi,0
Exogone (Exogone) lourei,238226,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Exogone,2003,NA,NA,NA,NA,34.233001709,-119.707000732,156,NA,Exogone lourei,0
Mediomastus californiensis,157483,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,NA,NA,NA,NA,Puget Sound,47.167,-122.9051,20.2,Originally identified as 'Mediomastus californiensis',Mediomastus californiensis,0
Sigalion spinosus,334789,species,Annelida,Polychaeta,Errantia,Phyllodocida,Sigalionidae,Sigalion,1889,NA,California,NA,NA,32.4500007629,-119.083000183,86,NA,Thalenessa spinosa,0
Mysta platycephala,1450761,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Mysta,NA,NA,NA,NA,"N.Oregon,S.Washington,off Columbia River mouth,stn88a,grab 5",46.2333,-124.179,NA,NA,Eteone,0
Hemipodia simplex,333592,species,Annelida,Polychaeta,Errantia,Phyllodocida,Glyceridae,Hemipodia,1986,NA,NA,NA,Area B-The Shellground,53.5499992371,-131.229995728,29,NA,Hemipodus borealis,0
Goniada maculata,130140,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Goniada,1999,NA,NA,NA,NA,38.0099983215,-122.910003662,17,NA,Goniada maculata,0
Mediomastus,129218,genus,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Mediomastus,2003,NA,NA,NA,NA,33.9570007324,-118.59300231900001,154,NA,Mediomastus sp,0
Leitoscoloplos pugettensis,254746,species,Annelida,Polychaeta,Sedentaria,NA,Orbiniidae,Leitoscoloplos,1980,NA,NA,NA,NA,53.6699981689,-132.210006714,0.1,NA,Leitoscoloplos pugettensis,0
Macoma balthica,141579,species,Mollusca,Bivalvia,Autobranchia,Cardiida,Tellinidae,Macoma,2002,NA,NA,NA,NA,46.4910011292,-124.028999329,NA,NA,Macoma balthica,0
Eulalia levicornuta,327589,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eulalia,2003,NA,NA,NA,NA,33.9949989319,-120.336997986,72,NA,Eulalia levicornuta,0
Notomastus hemipodus,157504,species,Annelida,Polychaeta,Sedentaria,NA,Capitellidae,Notomastus,2003,NA,NA,NA,NA,37.5989990234,-122.822998047,68,NA,Notomastus hemipodus,0
Glycinde polygnatha,240626,species,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,1999,NA,NA,NA,NA,43.3670005798,-124.303001404,1,NA,Glycinde polygnatha,0
Syllis heterochaeta,195998,species,Annelida,Polychaeta,Errantia,Phyllodocida,Syllidae,Syllis,2003,NA,NA,NA,NA,47.125,-124.641998291,89,NA,Typosyllis heterochaeta,0
Paranaitis polynoides,157521,species,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Paranaitis,2003,NA,NA,NA,NA,32.7960014343,-117.305000305,48,NA,Paranaitis polynoides,0
Glycinde,129299,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Goniadidae,Glycinde,2003,NA,NA,NA,NA,45.5900001526,-124.164001465,108,NA,Glycinde sp,0
Eteone,129443,genus,Annelida,Polychaeta,Errantia,Phyllodocida,Phyllodocidae,Eteone,1999,NA,NA,NA,NA,38.0019989014,-122.90599823,30,NA,Eteone,0
Harmothoe imbricata,130769,species,Annelida,Polychaeta,Errantia,Phyllodocida,Polynoidae,Harmothoe,NA,NA,NA,NA,Puget Sound,47.5662,-122.6109,8,Originally identified as 'Harmothoe imbricata',Harmothoe imbricata,0
