"","index","worms_sciname","min_lat","max_lat"
"213","213","Leodamas cirratus",25.04,31.268333
"214","214","Leodamas texana",29.803333,30.191667
"215","215","Lepidasthenia alba",48.5472,48.5472
"216","216","Lepidasthenia berkeleyae",33.875,53.0800018311
"217","217","Lepidasthenia interrupta",25.04,38.9367
"218","218","Lepidasthenia longicirrata",31.792418,50.283333
"219","219","Lepidasthenia natans",33.5900001526,48.3149986267
"220","220","Lepidonopsis humilis",26.886667,31.3333
"221","221","Lepidonotus caelorus",37.9,49.228333
"222","222","Lepidonotus spiculus",32.813884,51.9633
"223","223","Lepidonotus squamatus",25.591667,60.0410003662
"224","224","Levensteiniella kincaidi",43.910743,43.910743
"225","225","Lugia uschakovi",34.9216690063,34.9477806091
"226","226","Macellicephaloides alvini",27.011666667,33.19556
"227","227","Malmgrenia lunulata",37.734167,58.57
"228","228","Malmgreniella bansei",33.7080001831,57.047637
"229","229","Malmgreniella baschi",25.665,40.7280006409
"230","230","Malmgreniella liei",47.3699989319,47.9199981689
"231","231","Malmgreniella macginitiei",31.788233,48.984
"232","232","Malmgreniella nigralba",31.816532,49.756263
"233","233","Malmgreniella sanpedroensis",32.5859985352,41.1839981079
"234","234","Malmgreniella scriptoria",32.8250007629,47.704444
"235","235","Mediomastus acutus",35.1699981689,38.25
"236","236","Mediomastus ambiseta",30.433333,48.6199989319
"237","237","Mediomastus californiensis",25.13,58.6599998474
"238","238","Mediomastus capensis",47.698333,54.3100013733
"239","239","Megasyllis nipponica",32.6730003357,38.02667
"240","240","Micronereis nanaimoensis",37.46887,60.484444
"241","241","Myrianida convoluta",33.45,33.45
"242","242","Myrianida flava",48.545,48.6421
"243","243","Myrianida inermis",32.843333,32.843333
"244","244","Myrianida irregularis",48.545,48.545
"245","245","Myrianida pachycera",32.780549,37.805222
"246","246","Myrianida pentadentata",33.711,33.7362
"247","247","Mysta barbata",48.542,56.946533
"248","248","Mysta ornata",58.316667,58.316667
"249","249","Mystides borealis",48.373333,53.585
"250","250","Mystides caeca",35.78099823,35.78099823
"251","251","Myxicola aesthetica",48.81,54.838333
"252","252","Naineris dendritica",25.595,59.464233
"253","253","Naineris grubei",47.5107,47.58127
"254","254","Naineris laevigata",26.141944,59.951667
"255","255","Naineris quadricuspida",33.368,59.470001
"256","256","Naineris uncinata",33.9500007629,59.2109985352
"257","257","Natopolynoe kensmithi",33.306666667,33.49636
"258","258","Neanthes acuminata",32.6310005188,33.7760009766
"259","259","Neanthes cortezi",31.311111,31.311111
"260","260","Neanthes fucata",58.7067,58.7067
"261","261","Neanthes micromma",25.131667,31.268333
"262","262","Neoleanira areolata",54.0499992371,54.05
"263","263","Neomediomastus glabrus",36.838167,36.838167
"264","264","Nereiphylla castanea",37.1259994507,59.89
"265","265","Nereis angelensis",28.716667,30.191667
"266","266","Nereis anoculis",33.19517,33.49636
